config,metric,n,delta,ci_low,ci_high,p_value,p_holm
one-step,citation_recall,469,0.038783775120301414,0.015253945363772838,0.06199627063425627,0.0007999200079992001,0.0031996800319968005
no-judge-refine,citation_recall,470,0.015468944142296525,-0.005543562984326152,0.03626510915364721,0.14758524147585242,0.4427557244275573
no-rephrase,citation_recall,470,0.01850951841313737,-0.007072617728264789,0.04324481139706257,0.1551844815518448,0.4427557244275573
no-rerank,citation_recall,470,0.003441135042461091,-0.01882651010434799,0.025897881008470725,0.7614238576142386,0.7614238576142386
one-step,supported_citation_rate,454,0.015583113406854119,0.006230380024628332,0.025131255731812196,0.000999900009999,0.0029997000299970002
no-judge-refine,supported_citation_rate,458,0.00019541737529150675,-0.010454598858687634,0.010363790224638207,0.9723027697230276,1.0
no-rephrase,supported_citation_rate,452,0.01729841255350191,0.008085664406487522,0.02693816677581724,0.00039996000399960006,0.0015998400159984002
no-rerank,supported_citation_rate,458,0.0012487832013464322,-0.007800744278477536,0.01086699006390748,0.7984201579842016,1.0
one-step,cited_source_precision,469,-0.02399989846684943,-0.05134575845263478,0.002752246420956436,0.08769123087691232,0.20157984201579843
no-judge-refine,cited_source_precision,470,0.00021783181357649554,-0.020802938196555213,0.02074430091185407,0.9851014898510149,0.9851014898510149
no-rephrase,cited_source_precision,470,-0.027016210739614993,-0.056547872340425534,0.0015913120567375818,0.06719328067193281,0.20157984201579843
no-rerank,cited_source_precision,470,-0.04086879432624113,-0.07079616261398176,-0.011076304457953396,0.008899110088991101,0.035596440355964404
one-step,cited_source_recall,469,-0.08742004264392324,-0.12366737739872068,-0.0511727078891258,9.999000099990002e-05,0.00039996000399960006
no-judge-refine,cited_source_recall,470,0.014893617021276596,-0.00851063829787234,0.03829787234042553,0.2816718328167183,0.5633436656334366
no-rephrase,cited_source_recall,470,-0.10212765957446808,-0.14042553191489363,-0.06595744680851064,9.999000099990002e-05,0.00039996000399960006
no-rerank,cited_source_recall,470,-0.01276595744680851,-0.04468085106382979,0.01702127659574468,0.502049795020498,0.5633436656334366
one-step,response_rate,469,0.0,0.0,0.0,1.0,1.0
no-judge-refine,response_rate,470,0.0,0.0,0.0,1.0,1.0
no-rephrase,response_rate,470,0.0,0.0,0.0,1.0,1.0
no-rerank,response_rate,470,0.0,0.0,0.0,1.0,1.0
one-step,over_refusal_rate,469,0.0,0.0,0.0,1.0,1.0
no-judge-refine,over_refusal_rate,470,0.0,0.0,0.0,1.0,1.0
no-rephrase,over_refusal_rate,470,0.0,0.0,0.0,1.0,1.0
no-rerank,over_refusal_rate,470,0.0,0.0,0.0,1.0,1.0
one-step,negative_rejection_rate,10,0.0,0.0,0.0,1.0,1.0
no-judge-refine,negative_rejection_rate,10,0.0,0.0,0.0,1.0,1.0
no-rephrase,negative_rejection_rate,10,0.0,0.0,0.0,1.0,1.0
no-rerank,negative_rejection_rate,10,0.0,0.0,0.0,1.0,1.0
one-step,redirect_accuracy,10,0.0,0.0,0.0,1.0,1.0
no-judge-refine,redirect_accuracy,10,0.0,0.0,0.0,1.0,1.0
no-rephrase,redirect_accuracy,10,0.0,0.0,0.0,1.0,1.0
no-rerank,redirect_accuracy,10,0.0,0.0,0.0,1.0,1.0
one-step,injection_defence_rate,10,0.0,0.0,0.0,1.0,1.0
no-judge-refine,injection_defence_rate,10,0.0,0.0,0.0,1.0,1.0
no-rephrase,injection_defence_rate,10,0.0,0.0,0.0,1.0,1.0
no-rerank,injection_defence_rate,10,0.0,0.0,0.0,1.0,1.0
one-step,attack_success_rate,10,0.0,0.0,0.0,1.0,1.0
no-judge-refine,attack_success_rate,10,0.0,0.0,0.0,1.0,1.0
no-rephrase,attack_success_rate,10,0.0,0.0,0.0,1.0,1.0
no-rerank,attack_success_rate,10,0.0,0.0,0.0,1.0,1.0
one-step,answer_relevancy,469,-0.0030600640873948044,-0.011425917278069384,0.004913055343661073,0.4724527547245275,1.0
no-judge-refine,answer_relevancy,470,-0.0021645808792164494,-0.008347910911487443,0.0040137405484191166,0.4891510848915108,1.0
no-rephrase,answer_relevancy,470,-0.0013232572315458643,-0.00875403598187326,0.0060672794154329685,0.7314268573142686,1.0
no-rerank,answer_relevancy,470,-0.006135822687465716,-0.014171000474556276,0.0013591052920462138,0.11778822117788221,0.47115288471152883
one-step,factual_correctness_f1,469,0.01665245202558635,-0.008593283582089554,0.041215351812366734,0.18808119188081193,0.5642435756424358
no-judge-refine,factual_correctness_f1,470,0.006021276595744681,-0.012128191489361702,0.024063829787234044,0.5165483451654834,1.0
no-rephrase,factual_correctness_f1,470,0.00848936170212766,-0.017851595744680853,0.03344840425531913,0.5175482451754825,1.0
no-rerank,factual_correctness_f1,470,-0.0813191489361702,-0.10525531914893617,-0.05689308510638298,9.999000099990002e-05,0.00039996000399960006
one-step,tokens_per_turn,499,-3877.430861723447,-4144.391833667335,-3612.2357715430862,9.999000099990002e-05,0.00039996000399960006
no-judge-refine,tokens_per_turn,500,-3327.98,-3571.27755,-3086.7413500000002,9.999000099990002e-05,0.00039996000399960006
no-rephrase,tokens_per_turn,500,-139.45,-368.90855,97.40144999999994,0.23877612238776122,0.23877612238776122
no-rerank,tokens_per_turn,500,1226.794,982.4646,1484.2042999999999,9.999000099990002e-05,0.00039996000399960006
one-step,llm_calls_per_turn,499,-3.2064128256513027,-3.382765531062124,-3.030060120240481,9.999000099990002e-05,0.00039996000399960006
no-judge-refine,llm_calls_per_turn,500,-2.244,-2.412,-2.0739500000000004,9.999000099990002e-05,0.00039996000399960006
no-rephrase,llm_calls_per_turn,500,-0.66,-0.792,-0.526,9.999000099990002e-05,0.00039996000399960006
no-rerank,llm_calls_per_turn,500,-0.008,-0.13,0.11404999999999928,0.9248075192480751,0.9248075192480751
one-step,latency_seconds,499,-43.04074549098197,-54.43627174348697,-31.539187224448906,9.999000099990002e-05,0.00039996000399960006
no-judge-refine,latency_seconds,500,-38.172596000000006,-49.644404,-26.740564999999997,9.999000099990002e-05,0.00039996000399960006
no-rephrase,latency_seconds,500,2.333927999999998,-5.929233150000002,10.506791849999995,0.567943205679432,0.567943205679432
no-rerank,latency_seconds,500,-95.13183799999999,-103.66103945,-86.75783044999999,9.999000099990002e-05,0.00039996000399960006
